선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
허경민,두산,0.307,218,67,10,1,2,31,15,13,16,10,하위(6~9번)
오재일,두산,0.283,99,28,5,0,3,13,12,1,15,2,하위(6~9번)
박세혁,두산,0.281,427,120,19,9,3,58,40,6,64,5,하위(6~9번)
김재호,두산,0.259,348,90,18,0,4,43,62,6,51,8,하위(6~9번)
류지혁,두산,0.253,217,55,6,2,0,29,22,5,30,5,하위(6~9번)
정수빈,두산,0.252,123,31,3,1,0,12,16,1,14,2,하위(6~9번)
백동훈,두산,0.235,34,8,2,0,0,2,3,0,10,0,하위(6~9번)
정진호,두산,0.229,70,16,0,0,1,2,9,0,17,2,하위(6~9번)
김인태,두산,0.226,53,12,2,0,2,6,8,0,11,2,하위(6~9번)
신성현,두산,0.200,35,7,0,0,1,6,8,0,10,0,하위(6~9번)
김경호,두산,0.188,16,3,0,0,0,0,0,0,5,0,하위(6~9번)
최주환,두산,0.188,32,6,1,0,1,3,4,0,3,3,하위(6~9번)
장승현,두산,0.171,41,7,2,0,0,3,3,1,13,0,하위(6~9번)
오재원,두산,0.161,161,26,6,1,3,16,23,0,46,3,하위(6~9번)
국해성,두산,0.147,34,5,2,0,0,2,4,0,13,3,하위(6~9번)
정병곤,두산,0.130,23,3,1,0,0,2,1,2,4,2,하위(6~9번)
이유찬,두산,0.111,9,1,0,0,0,0,0,0,2,0,하위(6~9번)
김대한,두산,0.000,12,0,0,0,0,0,1,0,7,0,하위(6~9번)
박유연,두산,0.000,1,0,0,0,0,0,0,0,1,0,하위(6~9번)
송승환,두산,0.000,1,0,0,0,0,0,0,0,1,0,하위(6~9번)
