선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
박지훈,두산,0.333,1,3,2,1.50,0,0.33,3.57,0.083,2.4,0.297
박건우,두산,0.325,39,111,132,0.84,3,0.69,3.70,0.116,78.9,0.29
페르난데스,두산,0.315,39,170,171,0.99,4,1.86,3.48,0.128,87.0,0.287
조수행,두산,0.286,4,21,13,1.62,0,0.62,4.08,0.083,16.9,0.28
최용제,두산,0.279,3,27,28,0.96,1,0.52,3.89,0.029,13.1,0.237
허경민,두산,0.278,30,175,131,1.34,6,1.03,3.76,0.088,51.8,0.243
김재환,두산,0.274,52,109,114,0.96,15,0.64,4.01,0.227,91.3,0.297
양석환,두산,0.273,50,79,147,0.54,12,0.31,3.98,0.217,80.1,0.274
박계범,두산,0.267,18,87,84,1.04,7,0.65,4.12,0.090,45.3,0.255
정수빈,두산,0.259,26,112,72,1.56,2,0.58,3.82,0.115,37.4,0.24
김인태,두산,0.259,24,92,100,0.92,3,0.93,3.88,0.119,51.8,0.262
안재석,두산,0.255,12,49,51,0.96,2,0.30,3.94,0.090,23.4,0.229
전민재,두산,0.250,0,0,2,0.00,0,0.00,3.20,0.000,0.6,0.153
강승호,두산,0.239,25,76,78,0.97,2,0.28,3.79,0.136,34.6,0.229
안권수,두산,0.238,1,20,9,2.22,0,1.00,3.47,0.048,4.3,0.202
장승현,두산,0.232,12,51,36,1.42,3,0.38,3.81,0.090,21.0,0.23
박세혁,두산,0.219,12,77,68,1.13,1,0.51,4.02,0.051,19.9,0.201
권민석,두산,0.214,2,3,1,3.00,0,0.14,4.20,0.143,1.2,0.209
김재호,두산,0.209,9,56,80,0.70,3,0.85,3.91,0.052,18.6,0.203
신성현,두산,0.182,0,2,1,2.00,0,0.50,4.60,0.000,1.5,0.226
오재원,두산,0.167,3,19,24,0.79,2,0.33,3.90,0.042,2.8,0.155
국해성,두산,0.125,0,3,2,1.50,0,0.00,4.38,0.000,-0.1,0.088
권휘,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
김강률,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
김명신,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
김민규,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
김민혁,두산,0.000,0,3,1,3.00,0,1.00,4.25,0.000,0.1,0.113
남호,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
문원,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
박성재,두산,0.000,0,0,0,-,0,0.00,8.00,0.000,-0.1,0.0
박소준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
박치국,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
백동훈,두산,0.000,0,0,1,0.00,0,0.00,3.00,0.000,-0.3,0.0
서예일,두산,0.000,0,0,1,0.00,0,-,3.00,0.000,-0.1,0.0
오명진,두산,0.000,0,2,0,-,0,0.00,4.33,0.000,-0.3,0.0
윤명준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
이교훈,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
이승진,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
이영하,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
홍건희,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
황경태,두산,0.000,0,0,0,-,0,0.00,5.00,0.000,-0.1,0.0
