선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
전민재,두산,1.000,1,1,0,0,0,0,0,0,0,0,1번
박계범,두산,0.500,4,2,2,0,0,0,0,1,1,0,1번
안재석,두산,0.500,2,1,0,0,0,0,0,0,0,0,1번
정수빈,두산,0.349,146,51,6,1,3,17,14,1,18,2,1번
안권수,두산,0.312,186,58,6,2,0,13,21,0,31,6,1번
허경민,두산,0.301,136,41,4,0,3,22,18,4,14,4,1번
김인태,두산,0.275,80,22,3,0,1,10,19,1,16,1,1번
김재호,두산,0.250,4,1,0,0,0,0,0,1,1,0,1번
페르난데스,두산,0.250,4,1,0,0,0,0,0,0,0,0,1번
강승호,두산,0.222,9,2,1,0,0,2,2,0,2,0,1번
조수행,두산,0.111,9,1,0,0,0,1,1,0,3,1,1번
강진성,두산,0.000,2,0,0,0,0,0,0,0,1,0,1번
김대한,두산,0.000,1,0,0,0,0,0,0,0,1,0,1번
김민혁,두산,0.000,1,0,0,0,0,0,0,0,1,0,1번
서예일,두산,0.000,2,0,0,0,0,0,0,0,0,0,1번
송승환,두산,0.000,1,0,0,0,0,0,0,0,1,0,1번
신성현,두산,0.000,2,0,0,0,0,0,0,0,2,0,1번
김재환,두산,1.000,1,1,0,0,0,0,0,0,0,0,2번
박유연,두산,1.000,1,1,0,0,0,2,0,0,0,0,2번
송승환,두산,1.000,1,1,0,0,0,2,0,0,0,0,2번
안권수,두산,0.400,10,4,0,0,0,0,2,0,1,0,2번
페르난데스,두산,0.332,214,71,13,0,4,37,19,2,20,13,2번
강승호,두산,0.323,93,30,9,0,3,10,5,0,23,2,2번
조수행,두산,0.250,36,9,1,0,0,4,3,0,11,2,2번
김인태,두산,0.200,80,16,2,0,2,5,9,2,16,3,2번
안재석,두산,0.195,41,8,1,0,0,2,2,2,13,1,2번
양찬열,두산,0.189,37,7,1,0,0,3,4,0,10,1,2번
정수빈,두산,0.167,54,9,0,0,0,3,3,0,8,0,2번
강진성,두산,0.000,4,0,0,0,0,0,0,0,2,0,2번
김대한,두산,0.000,8,0,0,0,0,0,0,2,3,0,2번
김민혁,두산,0.000,2,0,0,0,0,0,1,0,0,0,2번
김재호,두산,0.000,2,0,0,0,0,0,0,0,0,0,2번
박계범,두산,0.000,1,0,0,0,0,1,0,0,0,0,2번
서예일,두산,0.000,3,0,0,0,0,0,0,0,1,0,2번
신성현,두산,0.000,2,0,0,0,0,0,0,0,0,1,2번
이유찬,두산,0.000,1,0,0,0,0,0,0,0,1,0,2번
장승현,두산,0.000,1,0,0,0,0,0,0,0,1,0,2번
