선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
페르난데스,두산,0.340,50,206,150,1.37,9,1.38,3.66,0.157,108.6,0.306
허경민,두산,0.332,33,128,143,0.90,3,1.25,3.45,0.110,71.6,0.282
오재일,두산,0.312,48,106,128,0.83,17,0.66,3.77,0.170,82.7,0.296
최주환,두산,0.306,49,103,194,0.53,7,0.71,4.20,0.167,88.1,0.283
박건우,두산,0.304,54,114,167,0.68,11,0.65,3.72,0.168,83.3,0.284
정수빈,두산,0.298,30,164,129,1.27,3,0.98,3.84,0.098,72.7,0.265
최용제,두산,0.295,1,13,10,1.30,1,0.50,3.20,0.045,4.8,0.245
김재호,두산,0.289,18,120,126,0.95,4,1.00,3.97,0.057,50.3,0.249
안권수,두산,0.270,0,11,12,0.92,0,0.40,3.51,0.000,3.3,0.203
박세혁,두산,0.269,24,105,120,0.88,6,0.78,3.73,0.094,49.6,0.248
김재환,두산,0.266,57,127,104,1.22,12,0.59,3.91,0.229,96.7,0.291
조수행,두산,0.263,0,13,9,1.44,0,0.33,4.03,0.000,3.0,0.201
권민석,두산,0.260,2,14,10,1.40,0,0.20,3.86,0.040,5.5,0.206
이유찬,두산,0.258,3,15,27,0.56,0,0.56,4.37,0.045,12.6,0.241
신성현,두산,0.250,1,0,0,-,0,1.00,5.71,0.250,1.4,0.382
장승현,두산,0.250,3,4,5,0.80,0,0.17,3.18,0.150,1.7,0.243
서예일,두산,0.240,2,5,8,0.63,0,0.43,3.90,0.080,3.1,0.22
국해성,두산,0.233,4,20,26,0.77,1,0.29,3.62,0.116,8.6,0.216
오재원,두산,0.232,13,32,40,0.80,1,0.33,4.18,0.155,19.0,0.232
양찬열,두산,0.227,0,9,6,1.50,0,1.50,4.08,0.000,2.3,0.212
김인태,두산,0.202,6,25,30,0.83,1,1.62,4.05,0.095,11.6,0.241
백동훈,두산,0.188,1,5,4,1.25,0,0.25,3.16,0.063,1.5,0.205
정상호,두산,0.163,6,19,25,0.76,0,0.07,3.38,0.070,1.3,0.139
권휘,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
김강률,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
김민규,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
박지훈,두산,0.000,0,0,0,-,0,0.00,6.00,0.000,-0.2,0.0
오명진,두산,0.000,0,2,1,2.00,0,0.00,4.25,0.000,-0.4,0.0
윤명준,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
이승민,두산,0.000,0,0,0,-,0,0.00,3.00,0.000,-0.1,0.0
이영하,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
이형범,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
조제영,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
함덕주,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
홍건희,두산,-,0,0,0,-,0,-,-,-,0.0,0.0
